,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,3,0,99.9,1,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,1,0,99.4,6,0,0
5,0,6,0,0,99.0,10,0,0
6,0,7,0,0,98.5,15,0,0
7,0,8,0,0,98.0,20,0,0
8,0,9,0,0,97.5,25,0,0
9,0,10,0,0,97.0,30,0,0
10,0,11,0,0,96.5,35,0,0
11,0,12,0,0,96.0,40,0,0
12,0,13,0,0,95.5,45,0,0
13,0,14,0,0,95.0,50,0,0
14,0,15,0,0,94.5,55,0,0
15,0,16,0,0,94.0,60,0,0
16,1,16,1,0,93.5,65,0,0
17,1,17,0,0,93.1,69,0,0
18,1,18,0,0,92.6,74,0,0
19,1,19,0,0,92.1,79,0,0
20,1,20,0,0,91.6,84,0,0
21,1,21,0,0,91.1,89,0,0
22,1,22,0,0,90.6,94,0,0
23,1,23,0,0,90.1,99,0,0
24,1,24,0,0,89.6,104,0,0
25,1,25,0,0,89.1,109,0,0
26,1,26,0,0,88.6,114,0,0
27,1,27,0,0,88.1,119,0,0
28,1,28,0,0,87.6,124,0,0
29,2,28,1,0,87.1,129,0,0
30,2,28,0,0,86.7,133,0,0
31,2,28,0,0,86.2,138,0,0
32,3,27,1,0,85.7,143,0,0
33,3,27,0,0,85.3,147,0,0
34,3,27,0,0,84.8,152,0,0
35,3,27,0,0,84.3,157,0,0
36,5,25,2,0,83.8,162,0,0
37,5,25,0,0,83.5,165,0,0
38,5,25,0,0,83.0,170,0,0
39,5,25,0,0,82.5,175,0,0
40,5,25,0,0,82.0,180,0,0
41,5,25,0,0,81.5,185,0,0
42,5,25,0,0,81.0,190,0,0
43,5,25,0,0,80.5,195,0,0
44,5,25,0,0,80.0,200,0,0
45,5,25,0,0,79.5,205,0,0
46,5,25,0,0,79.0,210,0,0
47,6,24,1,0,78.5,215,0,0
48,6,24,0,0,78.1,219,0,0
49,6,24,0,0,77.6,224,0,0
50,7,23,1,0,77.1,229,0,0
51,7,23,0,0,76.7,233,0,0
52,7,23,0,0,76.2,238,0,0
53,7,23,0,0,75.7,243,0,0
54,7,23,0,0,75.2,248,0,0
55,7,23,0,0,74.7,253,0,0
56,7,23,0,0,74.2,258,0,0
57,7,23,0,0,73.7,263,0,0
58,7,23,0,0,73.2,268,0,0
59,7,23,0,0,72.7,273,0,0
60,7,23,0,0,72.2,278,0,0
61,8,22,1,0,71.7,283,0,0
62,8,22,0,0,71.3,287,0,0
63,8,22,0,0,70.8,292,0,0
64,8,22,0,0,70.3,297,0,0
65,8,22,0,0,69.8,302,0,0
66,9,21,1,0,69.3,307,0,0
67,9,21,0,0,68.9,311,0,0
68,9,21,0,0,68.4,316,0,0
69,11,19,2,0,67.9,321,0,0
70,11,19,0,0,67.6,324,0,0
71,11,19,0,0,67.1,329,0,0
72,12,18,1,0,66.6,334,0,0
73,12,18,0,0,66.2,338,0,0
74,12,18,0,0,65.7,343,0,0
75,12,18,0,0,65.2,348,0,0
76,12,18,0,0,64.7,353,0,0
77,12,18,0,0,64.2,358,0,0
78,12,18,0,0,63.7,363,0,0
79,12,18,0,0,63.2,368,0,0
80,12,18,0,1,62.7,373,0,0
81,12,18,0,1,62.3,377,0,0
82,12,18,0,1,61.9,381,0,0
83,12,18,0,1,61.5,385,0,0
84,12,18,0,1,61.1,389,0,0
85,13,17,1,1,60.7,393,0,0
86,13,17,0,1,60.4,396,0,0
87,13,17,0,1,60.0,400,0,0
88,13,17,0,1,59.6,404,0,0
89,13,17,0,1,59.2,408,0,0
90,13,17,0,1,58.8,412,0,0
91,14,16,1,1,58.4,416,0,0
92,14,16,0,1,58.1,419,0,0
93,14,16,0,1,57.7,423,0,0
94,14,16,0,1,57.3,427,0,0
95,14,16,0,1,56.9,431,0,0
96,14,16,0,1,56.5,435,0,0
97,14,16,0,1,56.1,439,0,0
98,14,16,0,1,55.7,443,0,0
99,14,16,0,1,55.3,447,0,0
100,14,16,0,1,54.9,451,0,0
101,14,16,0,1,54.5,455,0,0
102,14,16,0,1,54.1,459,0,0
103,15,15,1,1,53.7,463,0,0
104,15,15,0,1,53.4,466,0,0
105,15,15,0,1,53.0,470,0,0
106,16,14,1,1,52.6,474,0,0
107,16,14,0,1,52.3,477,0,0
108,17,13,1,1,51.9,481,0,0
109,17,13,0,1,51.6,484,0,0
110,17,13,0,1,51.2,488,0,0
111,17,13,0,1,50.8,492,0,0
112,17,13,0,1,50.4,496,0,0
113,17,13,0,1,50.0,500,0,0
114,17,13,0,1,49.6,504,0,0
115,17,13,0,1,49.2,508,0,0
116,17,13,0,1,48.8,512,0,0
117,17,13,0,1,48.4,516,0,0
118,17,13,0,1,48.0,520,0,0
119,17,13,0,1,47.6,524,0,0
120,17,13,0,1,47.2,528,0,0
121,17,13,0,1,46.8,532,0,0
122,17,13,0,1,46.4,536,0,0
123,18,12,1,1,46.0,540,0,0
124,18,12,0,1,45.7,543,0,0
125,18,12,0,1,45.3,547,0,0
126,18,12,0,1,44.9,551,0,0
127,18,12,0,1,44.5,555,0,0
128,18,12,0,1,44.1,559,0,0
129,18,12,0,1,43.7,563,0,0
130,18,12,0,1,43.3,567,0,0
131,18,12,0,1,42.9,571,0,0
132,18,12,0,1,42.5,575,0,0
133,18,12,0,1,42.1,579,0,0
134,18,12,0,1,41.7,583,0,0
135,18,12,0,1,41.3,587,0,0
136,18,12,0,1,40.9,591,0,0
137,19,11,1,1,40.5,595,0,0
138,19,11,0,1,40.2,598,0,0
139,19,11,0,1,39.8,602,0,0
140,19,11,0,1,39.4,606,0,0
141,20,10,1,1,39.0,610,0,0
142,20,10,0,1,38.7,613,0,0
143,21,9,1,1,38.3,617,0,0
144,21,9,0,1,38.0,620,0,0
145,21,9,0,1,37.6,624,0,0
146,21,9,0,1,37.2,628,0,0
147,22,8,1,1,36.8,632,0,0
148,22,8,0,1,36.5,635,0,0
149,22,8,0,1,36.1,639,0,0
150,22,8,0,1,35.7,643,0,0
151,22,8,0,1,35.3,647,0,0
152,22,8,0,1,34.9,651,0,0
153,22,8,0,1,34.5,655,0,0
154,22,8,0,1,34.1,659,0,0
155,22,8,0,1,33.7,663,0,0
156,22,8,0,1,33.3,667,0,0
157,22,8,0,1,32.9,671,0,0
158,22,8,0,1,32.5,675,0,0
159,22,8,0,1,32.1,679,0,0
160,22,8,0,1,31.7,683,0,0
161,22,8,0,1,31.3,687,0,0
162,22,8,0,1,30.9,691,0,0
163,22,8,0,1,30.5,695,0,0
164,22,8,0,1,30.1,699,0,0
165,22,8,0,1,29.7,703,0,0
166,22,8,0,1,29.3,707,0,0
167,22,8,0,1,28.9,711,0,0
168,22,8,0,1,28.5,715,0,0
169,22,8,0,1,30.3,717,0,0
170,22,8,0,1,33.2,718,0,0
171,22,8,0,1,36.1,719,0,0
172,22,8,0,1,40.1,719,0,0
173,22,8,0,1,44.1,719,0,0
174,22,8,0,1,48.1,719,0,0
175,22,8,0,1,52.1,719,0,0
176,22,8,0,1,56.1,719,0,0
177,22,8,0,1,60.1,719,0,0
178,22,8,0,1,64.1,719,0,0
179,22,8,0,1,68.1,719,0,0
180,22,8,0,1,72.1,719,0,0
181,22,8,0,1,76.1,719,0,0
182,22,8,0,1,77.9,721,0,0
183,22,8,0,1,78.6,724,0,0
184,22,8,0,1,79.3,727,0,0
185,22,8,0,1,78.9,731,0,0
186,22,8,0,1,78.5,735,0,0
187,22,8,0,1,78.1,739,0,0
188,22,8,0,1,77.7,743,0,0
189,22,8,0,1,77.3,747,0,0
190,22,8,0,1,76.9,751,0,0
191,22,8,0,1,76.5,755,0,0
192,22,8,0,1,76.1,759,0,0
193,22,8,0,1,75.7,763,0,0
194,22,8,0,1,75.3,767,0,0
195,22,8,0,1,74.9,771,0,0
196,22,8,0,1,74.5,775,0,0
197,22,8,0,1,74.1,779,0,0
198,22,8,0,1,73.7,783,0,0
199,22,8,0,1,73.3,787,0,0
