,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,4,0,99.9,1,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,2,0,99.4,6,0,0
5,0,6,0,0,98.9,11,0,0
6,0,7,0,0,98.4,16,0,0
7,0,8,0,0,97.9,21,0,0
8,0,9,0,0,97.4,26,0,0
9,0,10,0,0,96.9,31,0,0
10,0,11,0,0,96.4,36,0,0
11,0,12,0,0,95.9,41,0,0
12,0,13,0,0,95.4,46,0,0
13,0,14,0,0,94.9,51,0,0
14,0,15,0,0,94.4,56,0,0
15,0,16,0,0,93.9,61,0,0
16,0,17,0,0,93.4,66,0,0
17,0,18,0,0,92.9,71,0,0
18,0,19,0,0,92.4,76,0,0
19,0,20,0,0,91.9,81,0,0
20,0,21,0,0,91.4,86,0,0
21,0,22,0,0,90.9,91,0,0
22,1,22,1,0,90.4,96,0,0
23,1,23,0,0,89.9,101,0,0
24,1,24,0,0,89.4,106,0,0
25,1,25,0,0,88.9,111,0,0
26,1,26,0,0,88.4,116,0,0
27,1,27,0,0,87.9,121,0,0
28,2,27,1,0,87.4,126,0,0
29,2,28,0,0,86.9,131,0,0
30,2,28,0,0,86.4,136,0,0
31,2,28,0,0,85.9,141,0,0
32,2,28,0,0,85.4,146,0,0
33,3,27,0,0,84.9,151,0,0
34,3,27,0,0,84.4,156,0,0
35,3,27,0,0,83.9,161,0,0
36,4,26,1,0,83.4,166,0,0
37,4,26,0,0,82.9,171,0,0
38,5,25,1,0,82.4,176,0,0
39,5,25,0,0,82.0,180,0,0
40,5,25,0,0,81.5,185,0,0
41,5,25,0,0,81.0,190,0,0
42,5,25,0,0,80.5,195,0,0
43,5,25,0,0,80.0,200,0,0
44,5,25,0,0,79.5,205,0,0
45,6,24,1,0,79.0,210,0,0
46,6,24,1,0,78.6,214,0,0
47,6,24,0,0,78.1,219,0,0
48,6,24,0,0,77.6,224,0,0
49,6,24,0,0,77.1,229,0,0
50,6,24,0,0,76.6,234,0,0
51,6,24,0,0,76.1,239,0,0
52,6,24,0,0,75.6,244,0,0
53,7,23,1,0,75.1,249,0,0
54,7,23,1,0,74.7,253,0,0
55,7,23,0,0,74.2,258,0,0
56,7,23,0,0,73.7,263,0,0
57,7,23,0,0,73.2,268,0,0
58,7,23,0,0,72.7,273,0,0
59,7,23,0,0,72.2,278,0,0
60,7,23,0,0,71.7,283,0,0
61,7,23,0,0,71.2,288,0,0
62,7,23,0,0,70.7,293,0,0
63,7,23,0,0,70.2,298,0,0
64,7,23,0,0,69.7,303,0,0
65,7,23,0,0,69.2,308,0,0
66,7,23,0,0,68.7,313,0,0
67,7,23,0,0,68.2,318,0,0
68,7,23,0,0,67.7,323,0,0
69,7,23,0,0,67.2,328,0,0
70,7,23,0,0,66.7,333,0,0
71,8,22,0,0,66.2,338,0,0
72,8,22,0,0,65.7,343,0,0
73,8,22,0,0,65.2,348,0,0
74,8,22,0,0,64.7,353,0,0
75,8,22,0,0,64.2,358,0,0
76,9,21,1,0,63.7,363,0,0
77,9,21,0,0,63.2,368,0,0
78,9,21,0,0,62.7,373,0,0
79,9,21,0,0,62.2,378,0,0
80,10,20,1,1,61.7,383,0,0
81,10,20,0,1,61.3,387,0,0
82,10,20,0,1,60.9,391,0,0
83,10,20,0,1,60.5,395,0,0
84,10,20,0,1,60.1,399,0,0
85,10,20,0,1,59.7,403,0,0
86,10,20,0,1,59.3,407,0,0
87,10,20,0,1,58.9,411,0,0
88,10,20,0,1,58.5,415,0,0
89,10,20,0,1,58.1,419,0,0
90,10,20,0,1,57.7,423,0,0
91,10,20,0,1,57.3,427,0,0
92,10,20,0,1,56.9,431,0,0
93,10,20,0,1,56.5,435,0,0
94,10,20,0,1,56.1,439,0,0
95,10,20,0,1,55.7,443,0,0
96,10,20,0,1,55.3,447,0,0
97,10,20,0,1,54.9,451,0,0
98,10,20,0,1,54.5,455,0,0
99,10,20,0,1,54.1,459,0,0
100,10,20,0,1,53.7,463,0,0
101,10,20,0,1,53.3,467,0,0
102,10,20,0,1,52.9,471,0,0
103,10,20,0,1,52.5,475,0,0
104,10,20,0,1,52.1,479,0,0
105,11,19,0,1,51.7,483,0,0
106,11,19,0,1,51.3,487,0,0
107,11,19,0,1,50.9,491,0,0
108,11,19,0,1,50.5,495,0,0
109,11,19,0,1,50.1,499,0,0
110,11,19,0,1,49.7,503,0,0
111,11,19,0,1,49.3,507,0,0
112,11,19,0,1,48.9,511,0,0
113,12,18,1,1,48.5,515,0,0
114,12,18,1,1,48.2,518,0,0
115,12,18,0,1,47.9,521,0,0
116,12,18,0,1,47.5,525,0,0
117,13,17,1,1,47.1,529,0,0
118,13,17,1,1,46.8,532,0,0
119,13,17,0,1,46.4,536,0,0
120,13,17,0,1,46.0,540,0,0
121,13,17,0,1,45.6,544,0,0
122,13,17,0,1,45.2,548,0,0
123,13,17,0,1,44.8,552,0,0
124,13,17,0,1,44.4,556,0,0
125,14,16,0,1,44.0,560,0,0
126,14,16,0,1,43.6,564,0,0
127,14,16,0,1,43.2,568,0,0
128,14,16,0,1,42.8,572,0,0
129,14,16,0,1,42.4,576,0,0
130,14,16,0,1,42.0,580,0,0
131,14,16,0,1,41.6,584,0,0
132,14,16,0,1,41.2,588,0,0
133,14,16,0,1,40.8,592,0,0
134,14,16,0,1,40.4,596,0,0
135,14,16,0,1,40.0,600,0,0
136,14,16,0,1,39.6,604,0,0
137,14,16,0,1,39.2,608,0,0
138,14,16,0,1,38.8,612,0,0
139,14,16,0,1,38.4,616,0,0
140,14,16,0,1,38.0,620,0,0
141,14,16,0,1,37.6,624,0,0
142,14,16,0,1,37.2,628,0,0
143,14,16,0,1,36.8,632,0,0
144,14,16,0,1,36.4,636,0,0
145,14,16,0,1,36.0,640,0,0
146,14,16,0,1,35.6,644,0,0
147,14,16,0,1,35.2,648,0,0
148,14,16,0,1,34.8,652,0,0
149,14,16,0,1,34.4,656,0,0
150,14,16,0,1,34.0,660,0,0
151,15,15,1,1,33.6,664,0,0
152,16,14,2,1,33.3,667,0,0
153,16,14,0,1,33.1,669,0,0
154,17,13,1,1,32.7,673,0,0
155,17,13,0,1,32.4,676,0,0
156,17,13,0,1,32.0,680,0,0
157,17,13,0,1,31.6,684,0,0
158,17,13,0,1,31.2,688,0,0
159,17,13,0,1,30.8,692,0,0
160,17,13,0,1,30.4,696,0,0
161,17,13,0,1,30.0,700,0,0
162,17,13,0,1,29.6,704,0,0
163,17,13,0,1,29.2,708,0,0
164,17,13,0,1,29.9,711,0,0
165,17,13,0,1,31.7,713,0,0
166,17,13,0,1,33.5,715,0,0
167,17,13,0,1,35.3,717,0,0
168,17,13,0,1,38.2,718,0,0
169,17,13,0,1,41.1,719,0,0
170,17,13,0,1,45.1,719,0,0
171,17,13,0,1,49.1,719,0,0
172,17,13,0,1,53.1,719,0,0
173,17,13,0,1,57.1,719,0,0
174,17,13,0,1,61.1,719,0,0
175,17,13,0,1,65.1,719,0,0
176,17,13,1,1,69.1,719,0,0
177,17,13,1,1,72.0,720,0,0
178,17,13,1,1,73.9,721,0,0
179,17,13,0,1,75.8,722,0,0
180,17,13,1,1,77.6,724,0,0
181,17,13,0,1,78.4,726,0,0
182,17,13,1,1,79.1,729,0,0
183,17,13,0,1,78.8,732,0,0
184,17,13,0,1,78.4,736,0,0
185,17,13,0,1,78.0,740,0,0
186,17,13,0,1,77.6,744,0,0
187,17,13,0,1,77.2,748,0,0
188,17,13,0,1,76.8,752,0,0
189,17,13,0,1,76.4,756,0,0
190,17,13,0,1,76.0,760,0,0
191,17,13,0,1,75.6,764,0,0
192,18,12,1,1,75.2,768,0,0
193,18,12,0,1,74.8,772,0,0
194,18,12,0,1,74.4,776,0,0
195,18,12,0,1,74.0,780,0,0
196,18,12,0,1,73.6,784,0,0
197,18,12,0,1,73.2,788,0,0
198,18,12,0,1,72.8,792,0,0
199,18,12,0,1,72.4,796,0,0
