,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,0,5,0,100.0,0,0,0
1,0,1,5,0,100.0,0,0,0
2,0,2,5,0,100.0,0,0,0
3,0,3,3,0,99.8,2,0,0
4,0,4,3,0,99.6,4,0,0
5,0,5,1,0,99.2,8,0,0
6,0,5,1,0,98.8,12,0,0
7,0,5,0,0,98.3,17,0,0
8,0,6,0,0,97.8,22,0,0
9,0,6,0,0,97.3,27,0,0
10,0,6,0,0,96.8,32,0,0
11,0,6,0,0,96.3,37,0,0
12,0,6,0,0,95.8,42,0,0
13,0,6,0,0,95.3,47,0,0
14,0,7,0,0,94.8,52,0,0
15,0,7,0,0,94.3,57,0,0
16,0,8,0,0,93.8,62,0,0
17,1,8,0,0,93.3,67,0,0
18,1,9,0,0,92.8,72,0,0
19,1,10,0,0,92.3,77,0,0
20,2,9,1,0,91.8,82,0,0
21,2,9,0,0,91.4,86,0,0
22,2,10,0,0,90.9,91,0,0
23,2,10,0,0,90.4,96,0,0
24,2,10,0,0,89.9,101,0,0
25,2,10,0,0,89.4,106,0,0
26,2,10,0,0,88.9,111,0,0
27,2,11,0,0,88.4,116,0,0
28,2,11,0,0,87.9,121,0,0
29,2,11,0,0,87.4,126,0,0
30,2,11,0,0,86.9,131,0,0
31,2,11,0,0,86.4,136,0,0
32,2,11,0,0,85.9,141,0,0
33,3,11,1,0,85.4,146,0,0
34,3,11,1,0,85.0,150,0,0
35,4,11,0,0,84.5,155,0,0
36,4,12,0,0,84.0,160,0,0
37,5,12,0,0,83.5,165,0,0
38,5,13,0,0,83.0,170,0,0
39,5,13,0,0,82.5,175,0,0
40,5,13,0,0,82.0,180,0,0
41,5,14,0,0,81.5,185,0,0
42,5,14,0,0,81.0,190,0,0
43,5,14,0,0,80.5,195,0,0
44,5,14,0,0,80.0,200,0,0
45,5,15,0,0,79.5,205,0,0
46,5,15,0,0,79.0,210,0,0
47,5,16,0,0,78.5,215,0,0
